id,month,region,main_category,sub_category,product_line,price_tier,units_sold,revenue_usd,online_sales_percentage,retail_price
690,January,India,Equipment,Bags,Gym Sack,Premium,33330,4332900,58,130
691,August,South Korea,Apparel,Tops,Therma-FIT,Premium,38300,8043000,77,210
692,May,Southeast Asia,Footwear,Basketball,LeBron Series,Budget,40333,3226640,70,80
693,September,Greater China,Footwear,Lifestyle,Air Force 1,Budget,19589,3721910,74,190
694,January,India,Apparel,Outerwear,Rain Jacket,Mid-Range,29713,3862690,61,130
695,August,South Korea,Footwear,Basketball,LeBron Series,Budget,25822,1549320,83,60
696,May,America,Equipment,Socks,Crew Socks,Mid-Range,47868,12924360,68,270
697,February,Southeast Asia,Equipment,Bags,Gym Sack,Premium,14342,4302600,55,300
698,October,Greater China,Apparel,Outerwear,Rain Jacket,Budget,47459,8542620,72,180
699,February,India,Footwear,Lifestyle,Air Force 1,Premium,33324,5665080,85,170
700,December,America,Apparel,Tops,Therma-FIT,Mid-Range,48156,4815600,77,100
701,November,South Korea,Apparel,Outerwear,Rain Jacket,Budget,9668,773440,50,80
702,September,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,46497,13019160,55,280
703,May,India,Equipment,Bags,Gym Sack,Budget,40023,4402530,72,110
704,November,South Korea,Apparel,Performance,Dri-FIT,Mid-Range,20895,5014800,71,240
705,January,Greater China,Apparel,Outerwear,Rain Jacket,Premium,38015,11404500,88,300
706,January,South Korea,Equipment,Bags,Gym Sack,Premium,45608,11402000,61,250
707,June,Southeast Asia,Equipment,Socks,Crew Socks,Premium,6685,2005500,52,300
708,October,Europe,Footwear,Running,Pegasus,Mid-Range,27118,7864220,72,290
709,June,Greater China,Footwear,Basketball,KD Series,Premium,15574,2803320,63,180
710,November,Southeast Asia,Apparel,Performance,Compression Wear,Budget,34614,4153680,89,120
711,July,Japan,Apparel,Outerwear,Rain Jacket,Budget,19804,3366680,64,170
712,February,America,Footwear,Football,Phantom Vision,Mid-Range,26040,7291200,56,280
713,February,Europe,Apparel,Performance,Compression Wear,Budget,25668,3080160,73,120
714,February,Japan,Equipment,Accessories,Bags,Budget,16912,4904480,63,290
715,June,Europe,Apparel,Outerwear,Rain Jacket,Premium,20702,4347420,64,210
716,September,Greater China,Apparel,Outerwear,Rain Jacket,Budget,48498,4849800,71,100
717,November,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,20355,2239050,70,110
718,July,Greater China,Apparel,Outerwear,Rain Jacket,Budget,35570,2845600,53,80
719,February,Greater China,Equipment,Accessories,Bags,Mid-Range,29655,5931000,90,200
720,February,South Korea,Footwear,Lifestyle,Blazer,Budget,27263,8178900,52,300
721,April,America,Footwear,Cricket,Vapor Cricket,Mid-Range,29642,8892600,83,300
722,March,America,Footwear,Cricket,Vapor Cricket,Mid-Range,24934,3490760,50,140
723,August,America,Footwear,Lifestyle,Air Force 1,Mid-Range,20762,3944780,59,190
724,October,Europe,Apparel,Performance,Dri-FIT,Budget,15167,4550100,85,300
725,March,Japan,Apparel,Outerwear,Windrunner,Mid-Range,33184,1659200,78,50
726,February,South Korea,Footwear,Running,React Infinity,Premium,6983,698300,62,100
727,February,Europe,Equipment,Accessories,Bags,Budget,13199,1583880,81,120
728,March,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,13667,1230030,84,90
729,November,Japan,Apparel,Tops,Therma-FIT,Mid-Range,14576,3060960,81,210
730,May,Europe,Equipment,Bags,Backpack,Mid-Range,41984,12175360,63,290
731,December,Europe,Footwear,Running,Pegasus,Premium,46870,5155700,66,110
732,May,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,13242,2648400,89,200
733,October,South Korea,Equipment,Socks,Performance Socks,Mid-Range,25199,3275870,52,130
734,November,South Korea,Footwear,Cricket,Vapor Cricket,Budget,49867,11968080,66,240
735,January,Greater China,Equipment,Bags,Gym Sack,Premium,34759,7299390,56,210
736,August,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,12203,2440600,66,200
737,May,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,34267,4112040,54,120
738,June,Europe,Apparel,Performance,Compression Wear,Premium,9759,1854210,63,190
739,January,South Korea,Apparel,Outerwear,Windrunner,Premium,39351,6689670,70,170
740,June,India,Equipment,Bags,Gym Sack,Premium,13901,2085150,89,150
741,September,South Korea,Footwear,Running,React Infinity,Mid-Range,18569,1485520,52,80
742,December,America,Apparel,Tops,Therma-FIT,Budget,14998,3149580,59,210
743,April,South Korea,Footwear,Football,Phantom Vision,Mid-Range,7276,800360,87,110
744,July,America,Equipment,Accessories,Hats,Budget,49315,9369850,50,190
745,April,South Korea,Equipment,Socks,Crew Socks,Budget,29270,3219700,64,110
746,July,America,Apparel,Tops,Therma-FIT,Budget,34623,2769840,74,80
747,April,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,31758,5716440,54,180
748,March,South Korea,Footwear,Basketball,LeBron Series,Budget,20902,3135300,70,150
749,June,India,Footwear,Cricket,Vapor Cricket,Premium,28438,8247020,61,290
750,October,India,Apparel,Tops,Tech Fleece,Budget,42709,3843810,55,90
751,February,Greater China,Equipment,Accessories,Bags,Premium,15141,3633840,72,240
752,May,India,Equipment,Socks,Performance Socks,Mid-Range,31908,6381600,62,200
753,October,Southeast Asia,Equipment,Socks,Crew Socks,Budget,23709,6875610,76,290
754,November,Southeast Asia,Equipment,Socks,Performance Socks,Budget,27222,7894380,88,290
755,November,Japan,Equipment,Accessories,Hats,Budget,32047,7370810,76,230
756,February,Europe,Equipment,Accessories,Bags,Mid-Range,47887,6704180,85,140
757,June,Greater China,Footwear,Football,Mercurial,Premium,47260,8034200,50,170
758,March,Japan,Footwear,Running,React Infinity,Budget,23185,4405150,84,190
759,May,South Korea,Apparel,Outerwear,Rain Jacket,Premium,37706,9803560,90,260
760,August,Europe,Footwear,Basketball,KD Series,Budget,48951,5384610,74,110
761,October,South Korea,Apparel,Performance,Dri-FIT,Premium,40620,11779800,52,290
762,September,Greater China,Equipment,Accessories,Hats,Budget,31498,5669640,74,180
763,June,Greater China,Apparel,Performance,Dri-FIT,Budget,38295,8807850,88,230
764,May,India,Footwear,Football,Phantom Vision,Budget,26582,6911320,80,260
765,November,Southeast Asia,Footwear,Basketball,Air Jordan,Premium,25327,5571940,73,220
766,September,Japan,Apparel,Tops,Tech Fleece,Premium,11159,1004310,90,90
767,September,Greater China,Footwear,Basketball,KD Series,Budget,29145,7286250,87,250
768,May,South Korea,Apparel,Tops,Therma-FIT,Premium,10849,1301880,85,120
769,March,America,Equipment,Socks,Crew Socks,Mid-Range,23576,3064880,78,130
770,January,America,Equipment,Bags,Backpack,Budget,17353,3644130,72,210
771,November,South Korea,Apparel,Outerwear,Windrunner,Premium,34752,9730560,64,280
772,June,Japan,Equipment,Socks,Crew Socks,Budget,31632,9173280,56,290
773,April,Europe,Footwear,Football,Mercurial,Mid-Range,18543,2966880,67,160
774,March,Europe,Equipment,Accessories,Hats,Mid-Range,18869,5660700,60,300
775,May,Europe,Footwear,Lifestyle,Air Force 1,Premium,30306,6061200,57,200
776,December,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,38275,8803250,66,230
777,November,America,Footwear,Running,Pegasus,Mid-Range,21022,1681760,51,80
778,October,America,Apparel,Performance,Compression Wear,Budget,23527,6352290,67,270
779,December,America,Equipment,Bags,Backpack,Mid-Range,28350,7654500,63,270
780,October,South Korea,Equipment,Bags,Gym Sack,Premium,48978,8326260,73,170
781,December,Europe,Footwear,Basketball,LeBron Series,Premium,44791,3135370,66,70
782,May,America,Equipment,Socks,Performance Socks,Premium,11269,1915730,68,170
783,July,Japan,Equipment,Socks,Performance Socks,Premium,17245,4828600,51,280
784,August,South Korea,Apparel,Tops,Tech Fleece,Premium,26006,1300300,79,50
785,May,Southeast Asia,Equipment,Bags,Gym Sack,Premium,46989,10807470,59,230
786,October,America,Apparel,Performance,Dri-FIT,Budget,42409,4240900,77,100
787,February,Greater China,Apparel,Outerwear,Windrunner,Premium,30036,6607920,71,220
788,February,South Korea,Apparel,Performance,Compression Wear,Budget,38877,3498930,59,90
789,October,Greater China,Equipment,Bags,Backpack,Premium,38457,2307420,53,60
790,July,Europe,Footwear,Running,Air Zoom,Budget,48598,2915880,77,60
791,January,Southeast Asia,Equipment,Accessories,Hats,Premium,17458,2793280,76,160
792,February,Japan,Footwear,Basketball,LeBron Series,Mid-Range,9210,2394600,86,260
793,June,Japan,Footwear,Running,Air Zoom,Budget,43304,6928640,64,160
794,January,Europe,Equipment,Bags,Gym Sack,Premium,11470,1032300,59,90
795,August,Japan,Footwear,Lifestyle,Air Max,Mid-Range,12727,3054480,73,240
796,January,Southeast Asia,Footwear,Lifestyle,Air Max,Premium,40727,8145400,84,200
797,May,America,Footwear,Running,Pegasus,Premium,18093,1266510,66,70
798,January,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,35894,8614560,56,240
799,March,Greater China,Footwear,Cricket,Vapor Cricket,Premium,28663,2866300,82,100
800,December,South Korea,Footwear,Cricket,Vapor Cricket,Mid-Range,25039,5758970,85,230
801,March,South Korea,Equipment,Bags,Backpack,Mid-Range,26249,7349720,55,280
802,November,America,Footwear,Lifestyle,Air Max,Mid-Range,20526,5336760,55,260
803,January,Greater China,Apparel,Performance,Compression Wear,Premium,16756,1172920,56,70
804,March,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,7882,1970500,59,250
805,January,Europe,Apparel,Outerwear,Rain Jacket,Budget,36582,9511320,81,260
806,May,America,Apparel,Outerwear,Windrunner,Premium,48177,14453100,53,300
807,August,India,Footwear,Football,Mercurial,Budget,46338,6950700,64,150
808,January,India,Footwear,Basketball,KD Series,Mid-Range,47343,11835750,87,250
809,July,Japan,Apparel,Performance,Compression Wear,Premium,12945,3106800,66,240
810,October,Europe,Equipment,Bags,Backpack,Budget,5248,1574400,73,300
811,February,Europe,Footwear,Basketball,Air Jordan,Premium,11691,1169100,51,100
812,July,Europe,Footwear,Basketball,Air Jordan,Mid-Range,6668,866840,74,130
813,August,America,Equipment,Socks,Crew Socks,Premium,46693,12140180,59,260
814,May,Japan,Footwear,Lifestyle,Blazer,Premium,44299,11960730,87,270
815,September,Japan,Footwear,Lifestyle,Air Force 1,Mid-Range,20109,1005450,74,50
816,September,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,16258,1300640,60,80
817,June,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,47663,2859780,71,60
818,August,South Korea,Footwear,Running,Air Zoom,Budget,37890,10988100,62,290
819,February,South Korea,Equipment,Bags,Gym Sack,Premium,46554,6983100,77,150
820,March,America,Apparel,Tops,Tech Fleece,Mid-Range,21235,4671700,87,220
821,March,India,Equipment,Accessories,Bags,Mid-Range,44806,9409260,76,210
822,August,South Korea,Equipment,Accessories,Hats,Premium,45238,5880940,75,130
823,February,South Korea,Equipment,Socks,Performance Socks,Premium,16435,3451350,74,210
824,November,Europe,Footwear,Running,Air Zoom,Mid-Range,13131,1313100,66,100
825,May,America,Equipment,Socks,Performance Socks,Premium,28331,4249650,82,150
826,March,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,46070,13821000,79,300
827,February,South Korea,Footwear,Running,React Infinity,Budget,28383,5392770,62,190
828,October,Japan,Equipment,Accessories,Bags,Budget,43425,8685000,60,200
829,December,South Korea,Apparel,Tops,Therma-FIT,Mid-Range,26534,5306800,73,200
830,April,Europe,Equipment,Bags,Gym Sack,Budget,22560,2256000,83,100
831,July,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,36096,6136320,50,170
832,March,America,Apparel,Outerwear,Windrunner,Premium,34400,2408000,62,70
833,July,India,Footwear,Football,Mercurial,Budget,32558,5209280,82,160
834,November,Europe,Apparel,Tops,Therma-FIT,Budget,13551,813060,61,60
835,May,America,Footwear,Cricket,Vapor Cricket,Budget,46947,2347350,84,50
836,September,Southeast Asia,Apparel,Outerwear,Rain Jacket,Mid-Range,14191,993370,85,70
837,March,Greater China,Apparel,Performance,Compression Wear,Budget,13384,3747520,50,280
838,July,Japan,Apparel,Outerwear,Windrunner,Premium,30645,5516100,75,180
839,September,America,Equipment,Accessories,Bags,Budget,13249,2914780,78,220
840,February,India,Equipment,Accessories,Hats,Mid-Range,46496,3719680,75,80
841,January,Greater China,Footwear,Running,Pegasus,Premium,24043,1923440,64,80
842,January,Greater China,Equipment,Bags,Backpack,Mid-Range,28958,6660340,51,230
843,February,America,Footwear,Running,React Infinity,Premium,31946,1916760,87,60
844,October,Japan,Equipment,Bags,Gym Sack,Budget,46000,11960000,88,260
845,June,South Korea,Equipment,Accessories,Hats,Budget,28707,4018980,60,140
846,June,India,Footwear,Basketball,LeBron Series,Mid-Range,33490,2344300,80,70
847,May,Europe,Equipment,Socks,Crew Socks,Mid-Range,47752,8595360,54,180
848,April,Southeast Asia,Footwear,Running,Pegasus,Premium,36810,11043000,78,300
849,July,America,Apparel,Performance,Dri-FIT,Budget,24373,3655950,84,150
850,June,South Korea,Apparel,Performance,Dri-FIT,Premium,16136,4840800,71,300
851,October,Europe,Footwear,Lifestyle,Air Max,Premium,29114,1746840,58,60
852,July,America,Footwear,Football,Phantom Vision,Premium,48966,10282860,51,210
853,August,America,Apparel,Tops,Tech Fleece,Mid-Range,13477,673850,62,50
854,June,America,Equipment,Accessories,Bags,Mid-Range,39529,7510510,58,190
855,March,Greater China,Apparel,Performance,Dri-FIT,Premium,48818,8787240,90,180
856,October,America,Footwear,Basketball,Air Jordan,Mid-Range,48698,5843760,88,120
857,July,India,Equipment,Bags,Backpack,Budget,16921,3553410,65,210
858,December,Southeast Asia,Equipment,Socks,Crew Socks,Premium,43906,9220260,50,210
859,August,Europe,Apparel,Outerwear,Windrunner,Mid-Range,35554,2133240,90,60
860,October,Greater China,Equipment,Bags,Backpack,Budget,10701,2033190,65,190
861,April,Japan,Equipment,Bags,Backpack,Premium,36747,5879520,56,160
862,April,India,Apparel,Outerwear,Rain Jacket,Mid-Range,31764,5082240,74,160
863,February,Southeast Asia,Footwear,Lifestyle,Air Force 1,Budget,39777,11137560,72,280
864,October,Greater China,Apparel,Outerwear,Rain Jacket,Premium,15851,2219140,79,140
865,June,Greater China,Apparel,Outerwear,Windrunner,Budget,40981,4098100,76,100
866,January,America,Apparel,Outerwear,Windrunner,Mid-Range,43842,11837340,62,270
867,June,Greater China,Apparel,Outerwear,Windrunner,Premium,23621,7086300,68,300
868,December,Europe,Equipment,Accessories,Hats,Mid-Range,26797,8039100,55,300
869,July,Europe,Footwear,Football,Phantom Vision,Mid-Range,21874,5905980,84,270
870,March,Europe,Apparel,Tops,Tech Fleece,Mid-Range,30887,8339490,72,270
871,June,America,Apparel,Tops,Therma-FIT,Premium,46707,7006050,61,150
872,May,Greater China,Equipment,Accessories,Hats,Mid-Range,43332,6499800,52,150
873,August,South Korea,Footwear,Running,Pegasus,Budget,17385,869250,87,50
874,April,America,Apparel,Performance,Dri-FIT,Budget,23160,5326800,73,230
875,May,India,Apparel,Performance,Compression Wear,Budget,24495,1714650,53,70
876,June,Europe,Apparel,Outerwear,Rain Jacket,Premium,48710,13151700,77,270
877,February,America,Equipment,Socks,Crew Socks,Premium,21620,3026800,75,140
878,June,India,Apparel,Outerwear,Rain Jacket,Premium,14102,1410200,88,100
879,October,Europe,Equipment,Socks,Performance Socks,Mid-Range,48555,4369950,61,90
880,May,America,Equipment,Bags,Gym Sack,Budget,40117,2407020,66,60
881,December,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,43220,11669400,82,270
882,April,America,Apparel,Performance,Compression Wear,Premium,35933,8623920,62,240
883,October,Japan,Apparel,Performance,Compression Wear,Premium,18365,2571100,69,140
884,December,Southeast Asia,Equipment,Bags,Gym Sack,Premium,34732,6599080,84,190
885,December,Japan,Footwear,Cricket,Vapor Cricket,Budget,48785,3902800,75,80
886,November,America,Footwear,Cricket,Vapor Cricket,Budget,14199,3265770,72,230
887,September,Japan,Equipment,Socks,Performance Socks,Premium,45125,6768750,53,150
888,September,India,Apparel,Tops,Tech Fleece,Premium,32020,8325200,62,260
889,August,India,Equipment,Socks,Performance Socks,Mid-Range,48701,7792160,55,160
890,June,Greater China,Footwear,Lifestyle,Air Force 1,Mid-Range,7535,2185150,52,290
891,February,America,Footwear,Basketball,LeBron Series,Premium,37161,5202540,68,140
892,May,Japan,Apparel,Outerwear,Windrunner,Premium,42278,2536680,62,60
893,June,India,Equipment,Socks,Performance Socks,Budget,33002,2970180,55,90
894,April,India,Equipment,Socks,Crew Socks,Premium,42179,6748640,73,160
895,October,South Korea,Footwear,Lifestyle,Blazer,Premium,5918,591800,69,100
896,October,India,Equipment,Socks,Crew Socks,Mid-Range,25544,5619680,72,220
897,August,America,Apparel,Tops,Therma-FIT,Budget,32897,3947640,65,120
898,June,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,19823,2775220,75,140
899,August,India,Apparel,Performance,Dri-FIT,Budget,44803,2688180,89,60
900,May,South Korea,Equipment,Bags,Backpack,Budget,19094,4200680,62,220
901,January,Europe,Apparel,Outerwear,Rain Jacket,Budget,10815,2703750,76,250
902,February,Japan,Footwear,Football,Mercurial,Budget,32822,7877280,55,240
903,August,Europe,Equipment,Socks,Crew Socks,Premium,7360,1766400,70,240
904,March,South Korea,Equipment,Bags,Gym Sack,Budget,41855,5022600,71,120
905,May,South Korea,Equipment,Accessories,Hats,Mid-Range,45270,9959400,68,220
906,December,Greater China,Footwear,Football,Mercurial,Mid-Range,6196,867440,82,140
907,May,America,Apparel,Tops,Tech Fleece,Premium,35066,4558580,77,130
908,April,South Korea,Apparel,Tops,Tech Fleece,Mid-Range,19979,2996850,67,150
909,February,Southeast Asia,Footwear,Basketball,KD Series,Mid-Range,20775,3324000,54,160
910,June,America,Equipment,Accessories,Bags,Premium,38431,3843100,74,100
911,December,India,Equipment,Accessories,Bags,Premium,45317,5438040,90,120
912,October,Greater China,Footwear,Lifestyle,Air Force 1,Premium,32471,7468330,87,230
913,September,America,Footwear,Football,Mercurial,Premium,44300,6202000,71,140
914,September,India,Equipment,Socks,Performance Socks,Premium,20419,6125700,54,300
915,March,South Korea,Apparel,Outerwear,Windrunner,Premium,49035,4903500,75,100
916,June,America,Equipment,Bags,Gym Sack,Mid-Range,28120,7873600,77,280
917,September,Greater China,Equipment,Socks,Performance Socks,Mid-Range,45500,6370000,60,140
918,September,Europe,Apparel,Outerwear,Windrunner,Budget,43225,2593500,81,60
919,March,Europe,Footwear,Football,Mercurial,Budget,32814,4922100,53,150
920,June,Europe,Apparel,Outerwear,Rain Jacket,Budget,19807,4357540,73,220
921,May,Greater China,Footwear,Football,Mercurial,Premium,8861,974710,73,110
922,July,Europe,Apparel,Performance,Dri-FIT,Premium,7001,700100,90,100
923,July,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,36808,10306240,74,280
924,November,Europe,Equipment,Accessories,Bags,Budget,16821,1513890,77,90
925,April,Greater China,Footwear,Basketball,Air Jordan,Premium,45686,10507780,56,230
926,December,Japan,Apparel,Outerwear,Rain Jacket,Premium,35978,9714060,80,270
927,December,India,Equipment,Socks,Performance Socks,Premium,11499,1149900,71,100
928,December,Japan,Equipment,Bags,Gym Sack,Budget,39321,10223460,58,260
929,December,America,Equipment,Bags,Backpack,Premium,8529,767610,65,90
930,June,South Korea,Equipment,Accessories,Bags,Premium,40467,6070050,78,150
931,March,Greater China,Equipment,Bags,Gym Sack,Mid-Range,20751,3527670,63,170
932,November,Greater China,Footwear,Lifestyle,Air Force 1,Budget,6167,1788430,80,290
933,March,South Korea,Equipment,Bags,Backpack,Mid-Range,26012,3641680,54,140
934,December,Japan,Footwear,Basketball,LeBron Series,Premium,33549,4025880,73,120
935,November,Japan,Apparel,Outerwear,Windrunner,Premium,24397,5611310,62,230
936,September,America,Footwear,Football,Phantom Vision,Budget,24032,6969280,77,290
937,September,Greater China,Apparel,Outerwear,Rain Jacket,Premium,31506,3465660,89,110
938,June,Europe,Equipment,Bags,Backpack,Budget,5204,1092840,86,210
939,May,America,Footwear,Basketball,LeBron Series,Budget,32810,9186800,61,280
940,December,Greater China,Footwear,Football,Mercurial,Mid-Range,13935,2508300,80,180
941,October,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,11789,1178900,65,100
942,August,South Korea,Equipment,Bags,Gym Sack,Premium,32930,7573900,65,230
943,February,South Korea,Equipment,Accessories,Bags,Mid-Range,30908,1545400,70,50
944,April,India,Apparel,Performance,Compression Wear,Mid-Range,34547,9327690,61,270
945,June,Japan,Equipment,Bags,Gym Sack,Mid-Range,21383,4918090,60,230
946,November,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,37241,7820610,73,210
947,July,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,42093,5472090,53,130
948,November,America,Apparel,Tops,Tech Fleece,Mid-Range,14181,3687060,64,260
949,May,America,Equipment,Accessories,Bags,Budget,39209,5881350,79,150
950,May,Europe,Equipment,Accessories,Hats,Premium,47189,10381580,66,220
951,December,India,Equipment,Accessories,Hats,Premium,13576,2579440,70,190
952,June,India,Apparel,Outerwear,Rain Jacket,Budget,12056,2411200,55,200
953,January,Greater China,Equipment,Bags,Backpack,Mid-Range,8922,2230500,61,250
954,September,Japan,Equipment,Socks,Crew Socks,Mid-Range,9146,2560880,58,280
955,June,Southeast Asia,Apparel,Tops,Therma-FIT,Premium,15815,1107050,71,70
956,February,Greater China,Equipment,Accessories,Bags,Premium,48062,3364340,79,70
957,July,America,Footwear,Football,Phantom Vision,Mid-Range,39446,10255960,73,260
958,September,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,43743,11810610,62,270
959,July,Japan,Footwear,Cricket,Vapor Cricket,Premium,49214,5905680,87,120
960,September,America,Equipment,Accessories,Hats,Budget,13429,671450,57,50
961,March,India,Footwear,Basketball,Air Jordan,Budget,34185,6495150,81,190
962,August,America,Equipment,Socks,Performance Socks,Budget,45111,12631080,89,280
963,April,Europe,Footwear,Basketball,LeBron Series,Mid-Range,23633,3072290,59,130
964,September,South Korea,Equipment,Bags,Backpack,Mid-Range,8166,2123160,50,260
965,December,America,Apparel,Outerwear,Windrunner,Mid-Range,40694,11801260,68,290
966,January,South Korea,Equipment,Accessories,Bags,Premium,42040,2942800,79,70
967,July,India,Equipment,Socks,Performance Socks,Premium,39083,10943240,76,280
968,December,South Korea,Apparel,Outerwear,Windrunner,Premium,20586,1029300,78,50
969,November,South Korea,Apparel,Outerwear,Windrunner,Budget,21072,1685760,89,80
970,August,India,Equipment,Accessories,Hats,Budget,27074,5414800,86,200
971,August,Japan,Apparel,Outerwear,Rain Jacket,Budget,27739,1664340,50,60
972,June,India,Footwear,Basketball,KD Series,Mid-Range,19144,3828800,71,200
973,April,America,Equipment,Accessories,Bags,Budget,23104,5082880,85,220
974,February,Europe,Equipment,Socks,Crew Socks,Budget,26136,4443120,78,170
975,June,Japan,Apparel,Outerwear,Windrunner,Budget,31376,7844000,54,250
976,May,India,Apparel,Outerwear,Windrunner,Mid-Range,15046,3761500,88,250
977,February,Europe,Apparel,Tops,Therma-FIT,Premium,8137,2115620,59,260
978,August,America,Footwear,Football,Mercurial,Premium,21248,5099520,53,240
979,March,South Korea,Apparel,Tops,Tech Fleece,Premium,7242,506940,60,70
980,October,Europe,Equipment,Socks,Crew Socks,Premium,9312,1862400,60,200
981,June,Southeast Asia,Footwear,Lifestyle,Blazer,Mid-Range,47243,3307010,87,70
982,July,South Korea,Apparel,Performance,Dri-FIT,Premium,27633,1934310,63,70
983,April,Southeast Asia,Equipment,Accessories,Hats,Premium,40542,4865040,55,120
984,November,America,Footwear,Cricket,Vapor Cricket,Budget,22761,6828300,74,300
985,December,Japan,Equipment,Bags,Backpack,Mid-Range,41202,2060100,89,50
986,August,India,Equipment,Socks,Performance Socks,Budget,19369,5423320,64,280
987,December,America,Apparel,Tops,Tech Fleece,Budget,28738,1436900,88,50
988,April,Japan,Equipment,Socks,Crew Socks,Premium,9244,1848800,70,200
989,July,South Korea,Apparel,Outerwear,Windrunner,Premium,15989,2558240,61,160
990,June,Japan,Footwear,Football,Mercurial,Budget,23927,2153430,54,90
991,April,Japan,Equipment,Accessories,Hats,Premium,18952,3411360,78,180
992,December,Greater China,Footwear,Football,Phantom Vision,Budget,6270,313500,67,50
993,March,India,Footwear,Cricket,Vapor Cricket,Mid-Range,29651,5337180,66,180
994,October,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,10017,1001700,88,100
995,September,Japan,Apparel,Tops,Tech Fleece,Premium,42516,8928360,78,210
996,October,India,Equipment,Accessories,Hats,Mid-Range,9870,987000,82,100
997,July,Europe,Equipment,Socks,Performance Socks,Mid-Range,14668,2640240,88,180
998,August,Japan,Footwear,Football,Phantom Vision,Premium,15078,2261700,74,150
999,May,South Korea,Equipment,Socks,Crew Socks,Premium,26242,1312100,52,50
1000,December,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,18133,5077240,68,280
